model,profile,threshold,recall,precision,f2,pr_auc,tn,fp,fn,tp,dataset
logreg,f2,0.3434055375831083,0.9690346083788707,0.6592317224287485,0.8857808857808858,0.8360447843751801,693,275,17,532,KOI_test
logreg,f2,0.3434055375831083,0.6120689655172413,0.6173913043478261,0.613126079447323,0.5237595929363436,30,220,225,355,K2P
logreg,f2,0.3434055375831083,0.7856510186005314,0.6418234442836469,0.7519498134961003,0.5776293926957873,723,495,242,887,KOI_test_plus_K2P
logreg,recall_constrained,0.050500814350459285,0.9927140255009107,0.5220306513409961,0.8410493827160493,0.8360447843751801,469,499,4,545,KOI_test
logreg,recall_constrained,0.050500814350459285,0.7827586206896552,0.6686303387334315,0.756918972990997,0.5237595929363436,25,225,126,454,K2P
logreg,recall_constrained,0.050500814350459285,0.8848538529672276,0.579802669762043,0.8006090719666613,0.5776293926957873,494,724,130,999,KOI_test_plus_K2P
logreg,precision_constrained,0.8181131924774016,0.5318761384335154,0.8664688427299704,0.5763916304776945,0.8360447843751801,923,45,257,292,KOI_test
logreg,precision_constrained,0.8181131924774016,0.4086206896551724,0.5398633257403189,0.4295034432765495,0.5237595929363436,48,202,343,237,K2P
logreg,precision_constrained,0.8181131924774016,0.4685562444641275,0.6817010309278351,0.49981103552532125,0.5776293926957873,971,247,600,529,KOI_test_plus_K2P
svc_rbf,f2,0.15018254305833417,0.9854280510018215,0.73806275579809,0.9235233868214408,0.9252249465154504,776,192,8,541,KOI_test
svc_rbf,f2,0.15018254305833417,0.8120689655172414,0.7050898203592815,0.7881526104417671,0.784588495338836,53,197,109,471,K2P
svc_rbf,f2,0.15018254305833417,0.8963684676705048,0.7223411848679515,0.8551630894034139,0.8276487847284464,829,389,117,1012,KOI_test_plus_K2P
svc_rbf,recall_constrained,0.010018799006021172,0.9981785063752276,0.576235541535226,0.8706704798220527,0.9252126298305546,565,403,1,548,KOI_test
svc_rbf,recall_constrained,0.010018799006021172,0.9120689655172414,0.7119784656796769,0.8635324844923278,0.7845891072869187,36,214,51,529,K2P
svc_rbf,recall_constrained,0.010018799006021172,0.953941541186891,0.6357733175914995,0.8671497584541062,0.8276445408677715,601,617,52,1077,KOI_test_plus_K2P
svc_rbf,precision_constrained,0.8607700131601387,0.5318761384335154,0.9449838187702265,0.5828343313373253,0.9252187574963278,951,17,257,292,KOI_test
svc_rbf,precision_constrained,0.8607700131601387,0.4086206896551724,0.7429467084639498,0.44903372489579385,0.7845951931994223,168,82,343,237,K2P
svc_rbf,precision_constrained,0.8607700131601387,0.4685562444641275,0.8423566878980892,0.5141912908242613,0.8276477436527998,1119,99,600,529,KOI_test_plus_K2P
knn,f2,0.36363636363636365,0.9581056466302368,0.7815750371471025,0.9166957127919135,0.9369242636728033,821,147,23,526,KOI_test
knn,f2,0.36363636363636365,0.9086206896551724,0.8045801526717558,0.8857142857142857,0.9093280741027129,122,128,53,527,K2P
knn,f2,0.36363636363636365,0.9326837909654562,0.7929216867469879,0.9009240246406571,0.9215444269780863,943,275,76,1053,KOI_test_plus_K2P
knn,recall_constrained,0.030303030303030304,0.9981785063752276,0.5463609172482552,0.8565176617693029,0.9369242636728033,513,455,1,548,KOI_test
knn,recall_constrained,0.030303030303030304,0.9879310344827587,0.7047970479704797,0.9144589849984041,0.9093280741027129,10,240,7,573,K2P
knn,recall_constrained,0.030303030303030304,0.9929140832595217,0.6172907488986784,0.88518635502211,0.9215444269780863,523,695,8,1121,KOI_test_plus_K2P
knn,precision_constrained,0.8787878787878789,0.5009107468123861,0.9515570934256056,0.5533199195171026,0.9369242636728033,954,14,274,275,KOI_test
