model,profile,best_threshold,best_score
hgb,best_f2,0.13134043850824714,0.922792515515509
hgb,best_precision_rmin_0_5,0.8854322299089866,0.9467597484163847
hgb,best_recall_pmin_0_5,0.03211783437657091,0.9927098380281711
knn,best_f2,0.36363636363636365,0.9151642010881448
knn,best_precision_rmin_0_5,0.8787878787878789,0.9343253190435974
knn,best_recall_pmin_0_5,0.030303030303030304,0.9959039138538
logreg,best_f2,0.3434055375831083,0.8828031401226919
logreg,best_precision_rmin_0_5,0.8181131924774016,0.8518830947512288
logreg,best_recall_pmin_0_5,0.050500814350459285,0.9913459869591426
rf,best_f2,0.2710347073679558,0.9132329300413629
rf,best_precision_rmin_0_5,0.8711829879684297,0.9351091802015924
rf,best_recall_pmin_0_5,0.029039432932280992,0.9968007240801287
svc_rbf,best_f2,0.2703951193261024,0.9199029827336929
svc_rbf,best_precision_rmin_0_5,0.8607996540435618,0.9322140445471572
svc_rbf,best_recall_pmin_0_5,0.010012003213776646,0.995887336100755
