feature,deploy_f2__KOI_test,deploy_f2__K2P,deploy_f2__KOI_test_plus_K2P,deploy_recall__KOI_test,deploy_recall__K2P,deploy_recall__KOI_test_plus_K2P,deploy_precision__KOI_test,deploy_precision__K2P,deploy_precision__KOI_test_plus_K2P
orbital_period_days,0.07461689556925999,0.03993832671071672,0.07262808760925829,0.03512231563435866,0.00019523769049975548,0.019046558817162457,0.10380884168159772,0.030832445774538718,0.07112351001772983
impact_parameter,0.019766713654249552,0.005691341221784924,0.0010501394141526233,0.032403155767315915,-0.00043963322809492114,0.014248393445569852,0.040010510602454884,0.008759611985158034,0.025768434293016923
transit_duration_hours,0.05859313994099944,0.030641172690323897,0.062037772411680826,0.009296039455092792,-8.80773778412558e-05,0.004770354667060944,0.0844435244802707,0.017087236176311547,0.04677922635305305
transit_depth,0.05389645129336397,0.017684227022491728,0.03193636503703816,0.0627913133699981,-0.0021495080844749328,0.03421957881403627,0.13893450044872,0.05592635787099813,0.08662182580533002
inclination_deg,0.02298423969266854,-0.0008226101782228157,0.007215525923368304,0.050960735476690666,0.00044213573645567327,0.027773299028600262,0.04680189771639636,0.0025850296379079816,0.02408359001972913
a_over_rs,0.032000635134454405,0.01648856072710489,0.024727287573626293,0.04884237478988017,-0.0008166836379337849,0.026464155325280493,0.21000424438305454,0.04428586867885979,0.13146316337583072
planet_radius_rearth,0.07652163939345039,0.0027079867854365837,0.038950663703744795,0.06809683084000073,-2.069384581297462e-05,0.037464379651401855,0.16574810312569993,0.0065370843888126525,0.08465944196078463
insolation_earth,0.03079965371500773,0.0046233679676466076,0.019758116952220774,0.038444472525337926,-3.556583418296011e-05,0.018085464477782708,0.07735971532488264,0.00105303384989493,0.03963504823268832
stellar_teff_k,0.014324846203753783,-0.0010422928541501287,0.009430335202020978,0.01015592324530975,-0.0012331009090869815,0.006086540329355567,0.08310537243560745,0.03527207002093109,0.06617185638737369
stellar_logg_cgs,0.020332781054502636,-0.005812517074484447,0.005920197607560723,0.011962964598471747,-0.0011303192838897635,0.006481875619408883,0.08099022914074314,0.051070090627319764,0.06863102068220696
stellar_metallicity_dex,0.02680658768940078,0.016095120192718755,0.014589117870306945,0.010113932819333805,-0.0008437099641131429,0.004469474716292854,0.10352862778609404,0.04404894354924011,0.06826957137972595
