deploy_id,model_name,profile,threshold,dataset,feature,importance_mean,importance_std,n_repeats,scoring,importance_rank
deploy_f2,knn,f2,0.36363636363636365,K2P,orbital_period_days,0.03993832671071672,0.007426040794122104,20,f2,1
deploy_f2,knn,f2,0.36363636363636365,K2P,transit_duration_hours,0.030641172690323897,0.004361036362483902,20,f2,2
deploy_f2,knn,f2,0.36363636363636365,K2P,transit_depth,0.017684227022491728,0.00694080489487796,20,f2,3
deploy_f2,knn,f2,0.36363636363636365,K2P,a_over_rs,0.01648856072710489,0.004517475461952241,20,f2,4
deploy_f2,knn,f2,0.36363636363636365,K2P,stellar_metallicity_dex,0.016095120192718755,0.004451059650706522,20,f2,5
deploy_f2,knn,f2,0.36363636363636365,K2P,impact_parameter,0.005691341221784924,0.003634977569588714,20,f2,6
deploy_f2,knn,f2,0.36363636363636365,K2P,insolation_earth,0.0046233679676466076,0.0029315706135211944,20,f2,7
deploy_f2,knn,f2,0.36363636363636365,K2P,planet_radius_rearth,0.0027079867854365837,0.003529349112074902,20,f2,8
deploy_f2,knn,f2,0.36363636363636365,K2P,inclination_deg,-0.0008226101782228157,0.003124670318391502,20,f2,9
deploy_f2,knn,f2,0.36363636363636365,K2P,stellar_teff_k,-0.0010422928541501287,0.0068001596434533245,20,f2,10
deploy_f2,knn,f2,0.36363636363636365,K2P,stellar_logg_cgs,-0.005812517074484447,0.004488579376547605,20,f2,11
deploy_f2,knn,f2,0.36363636363636365,KOI_test,planet_radius_rearth,0.07652163939345039,0.0052777465070637415,20,f2,1
deploy_f2,knn,f2,0.36363636363636365,KOI_test,orbital_period_days,0.07461689556925999,0.008429796337637813,20,f2,2
deploy_f2,knn,f2,0.36363636363636365,KOI_test,transit_duration_hours,0.05859313994099944,0.006983495005163261,20,f2,3
deploy_f2,knn,f2,0.36363636363636365,KOI_test,transit_depth,0.05389645129336397,0.005560535070249741,20,f2,4
deploy_f2,knn,f2,0.36363636363636365,KOI_test,a_over_rs,0.032000635134454405,0.004694272289474327,20,f2,5
deploy_f2,knn,f2,0.36363636363636365,KOI_test,insolation_earth,0.03079965371500773,0.005196540169572114,20,f2,6
deploy_f2,knn,f2,0.36363636363636365,KOI_test,stellar_metallicity_dex,0.02680658768940078,0.00809253196084164,20,f2,7
deploy_f2,knn,f2,0.36363636363636365,KOI_test,inclination_deg,0.02298423969266854,0.006682753163291363,20,f2,8
deploy_f2,knn,f2,0.36363636363636365,KOI_test,stellar_logg_cgs,0.020332781054502636,0.0049639050381867144,20,f2,9
deploy_f2,knn,f2,0.36363636363636365,KOI_test,impact_parameter,0.019766713654249552,0.004496101912640403,20,f2,10
deploy_f2,knn,f2,0.36363636363636365,KOI_test,stellar_teff_k,0.014324846203753783,0.005424128319533205,20,f2,11
deploy_f2,knn,f2,0.36363636363636365,KOI_test_plus_K2P,orbital_period_days,0.07262808760925829,0.006058308058736039,20,f2,1
deploy_f2,knn,f2,0.36363636363636365,KOI_test_plus_K2P,transit_duration_hours,0.062037772411680826,0.005484374907338306,20,f2,2
deploy_f2,knn,f2,0.36363636363636365,KOI_test_plus_K2P,planet_radius_rearth,0.038950663703744795,0.004148955727138799,20,f2,3
deploy_f2,knn,f2,0.36363636363636365,KOI_test_plus_K2P,transit_depth,0.03193636503703816,0.0037117309007909344,20,f2,4
deploy_f2,knn,f2,0.36363636363636365,KOI_test_plus_K2P,a_over_rs,0.024727287573626293,0.0044949134133970055,20,f2,5
deploy_f2,knn,f2,0.36363636363636365,KOI_test_plus_K2P,insolation_earth,0.019758116952220774,0.004786866791508898,20,f2,6
