group_id,label,orbital_period_days,eccentricity,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun
BD+20 594 b,1,41.6855,0.0,,,490.0,,89.55,55.8,2.57807,,,,5766.0,4.5,-0.15,1.08,1.67
EPIC 201170410.02,1,6.7987,0.0,0.46,,,0.034,89.0025,,1.047,0.0349,,,3648.0,4.999,-0.048,0.282,0.287
EPIC 201238110 b,1,28.1656,,0.24,,,0.0458,,,1.87,,,,,,,,0.41
EPIC 201257461.01,0,50.285869,,0.95,12.62,1840.0,0.05345,,,3.47,,,,4859.0,,,0.74,
EPIC 201324549.01,0,2.519386,,,1.584,2036.0,0.089,,5.22,19.6,,,,,,,2.03,
EPIC 201427007 b,1,0.72091,,,,,0.0142,88.5,3.1,1.5,,,,5633.0,4.4,-0.053,0.94,
EPIC 201497682 b,1,2.13174,,0.21,,,0.0115,,,0.692,,,,,,,,0.78
EPIC 201555883.01,0,,,,,,,,,,,,,4419.0,,-0.98,0.52,
EPIC 201569483.01,0,5.7968861,,0.73,2.57,94300.0,0.3232,,,24.2,,,,4721.0,,,0.72,
EPIC 201595106 b,1,0.87724,0.0,0.814,,,0.0147,78.2,,1.565,0.0177,2038.0,2852.0,5679.0,4.435,0.01,0.98,0.958
EPIC 201615463 c,1,3.80464,,0.61,,,0.0093,,,1.22,,,,,,,,1.073
EPIC 201649426.01,0,27.770388,,0.77,3.14,106000.0,0.3722,,,25.1,,,,4598.0,,,0.71,
EPIC 201754305 d,1,2.71578,,0.21,,,0.015,,,1.03,,,,,,,,0.67
EPIC 201757695.02,1,2.0478,0.0,0.12,,,0.0127,89.2757,,0.90819,0.0296,,,4520.0,4.659,-0.003,0.655,0.727
EPIC 201779067.01,0,27.242808,,,6.5664,37137.0,0.336,,26.77,93.0,,,,,,,2.54,
EPIC 201833600 c,1,3.96151,,0.4,,,0.0168,,,1.0,,,,,,,,0.611
EPIC 201841433 b,1,4.1698,,0.21,,,0.0152,89.001,,1.04,0.035,,,5053.0,4.595,0.0,0.628461,0.802
EPIC 201928106.01,0,1.19478,,,7.104,,0.0644,,,1.65,,,,3671.0,5.053,,0.235,
EPIC 201929294.01,0,,,,,,,,,,,,,4786.0,,-0.16,0.7,
EPIC 202059377.01,0,1.57753,,,0.0,,0.13,,,26.0,,,,7747.0,4.08,,1.93,
EPIC 202071645.01,0,23.7782,,,5.0712,,0.44,,,98.0,,,,7498.0,4.03,,2.09,
EPIC 202126887.01,0,12.866412,,,3.12,31311.0,0.342,,25.83,61.0,,,,,,,1.642,
EPIC 202126888.01,0,1.84617,,,3.0,,0.0947,,,2.14,,,,3252.0,5.08,,0.21,
EPIC 202963882.01,0,0.6308,,,,55199.99999999999,,,,,,,,,,,,
EPIC 203476597.01,0,1.4408,,,,16400.0,,,,,,,,4154.0,,,1.58859,
EPIC 203485624.01,0,0.841202,,,0.0,,0.333,,,82.0,,,,6237.0,3.85,,2.31,
EPIC 203581469.01,0,22.7984,,,2.1288,,0.056,,,9.0,,,,6195.0,4.18,,1.37,
EPIC 203692610.01,0,1.8204,,,,5000.0,,,,,,,,3112.0,4.72526,,0.5139,0.511624
EPIC 203710387.01,0,2.809,,,,47300.00000000001,,,,,,,,2901.0,4.75991,,0.474383,0.472176
EPIC 203823381.01,0,8.2781,,,,2600.0,,,,,,,,6520.0,,-0.0664,,
EPIC 203849738.01,0,0.6199,,,,25200.0,,,,,,,,2978.0,4.65423,,0.596423,0.585161
EPIC 203868608.01,0,4.5417,,,,71900.0,,,,,,,,2897.0,4.61636,,0.641751,0.620907
EPIC 204043888.01,0,1.486243,,,3.19488,,0.28,,,58.0,,,,5991.0,3.984,,1.87,
EPIC 204143627.01,0,1.124,,,,6200.0,,,,,,,,3074.0,4.73262,,0.50547,0.503436
EPIC 204165788.01,0,0.7474,,,,1700.0000000000002,,,,,,,,,,,,
EPIC 204364515.01,0,1.4562,,,,16500.0,,,,,,,,,,,,
EPIC 204432860.01,0,2.8742,,,,7300.0,,,,,,,,3648.0,,,1.41662,
EPIC 204506777.01,0,1.6281,,,,14900.0,,,,,,,,5691.0,3.56677,,2.74444,1.013
EPIC 204760247.01,0,9.2048,,,,147900.0,,,,,,,,11886.0,3.82208,,3.61562,3.165
EPIC 204873331.01,0,1.3178719,,,1.872,19780.0,0.286,,4.28,62.0,,,,,,,1.975,
EPIC 204882444.01,0,1.1488,,,,9800.0,,,,,,,,3429.0,4.07241,,0.984957,0.418
EPIC 205046529.01,0,1.8361,,,,5500.0,,,,,,,,,,,,
EPIC 205064326.01,0,8.02335,,,4.488,5030.0,0.153,,7.28,86.0,,,,,,,5.13,
EPIC 205148699.01,0,4.377339,,,4.5888,33397.0,0.1727,,8.088,31.9,,,,,,,1.691,
EPIC 205483258.01,0,5.6683,,,,64900.0,,,,,,,,3521.0,4.14993,,0.956267,0.471
EPIC 205703094.03,0,24.9922,,,5.208,,0.28,,,36.0,,,,6040.0,4.32,,1.2,
