group_id,label,orbital_period_days,eccentricity,arg_periastron_deg,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun,stellar_age_gyr
EPIC 201111557.01,CANDIDATE,2.30183,,,0.42,1.9008,2.268,0.0144,,11.8,1.12,,1054.0,,4616.52,4.53679,-0.03,0.762602,0.73,
EPIC 201126503.01,CANDIDATE,1.1947488,,,0.0,1.93,0.448,0.06005,,,4.19,,,,3919.0,,,0.57,,
EPIC 201127519.01,CANDIDATE,6.17887,,,0.17,2.5008,1.303,0.1058,,18.1,8.84,,772.0,,4719.28,4.45833,0.213,0.849432,0.756,
EPIC 201147085.01,CANDIDATE,1.17589,,,,1.248,0.0686,0.0254,,6.3,0.86,,,,,,,0.309,,
EPIC 201152065.01,CANDIDATE,10.6966,,,,3.24,0.0557,0.0226,,21.9,1.45,,,,,,,0.588,,
EPIC 201160662.01,CANDIDATE,1.5374115,,,,2.3808,1.4564,0.259,,3.59,45.0,,,,,,,1.599,,
EPIC 201164625.01,CANDIDATE,2.71189,,,0.43,3.1008,0.02,0.0121,,5.5,4.34,,2336.0,,6402.0,3.54386,,3.16745,1.28,
EPIC 201166680.01,CANDIDATE,18.10549,,,,,,0.015719,88.94517,26.263676,2.09985108,,,,6213.0,4.32,0.14,1.224685,,
EPIC 201176672.01,CANDIDATE,79.9999,,,,11.7504,,0.18,,,10.2,,,,4542.0,4.747,,0.508,,
EPIC 201176672.02,CANDIDATE,,,,,14.472,3.06,0.39,,,30.0,,,,,,,0.707,,
EPIC 201180665.01,CANDIDATE,17.77297,,,0.68,2.8992,3.662,0.1892,,33.3,26.44,,830.0,,5847.0,4.26659,,1.25428,1.06,
EPIC 201182911.01,CANDIDATE,0.99656225,,,0.53,2.26,35.5,0.6256,,,32.8,,,,3727.0,,,0.5,,
EPIC 201197348.01,CANDIDATE,14.9139,,,,3.264,0.24,0.046,,32.6,3.24,,,,,,,0.647,,
EPIC 201231940.01,CANDIDATE,0.57303573,,,0.35,0.32,0.51,0.09028,,,3.35,,,,3570.0,,,0.43,,
EPIC 201238110.01,CANDIDATE,7.90417,,,,1.92,0.268,0.0505,,27.3,2.06,,,,,,,0.374,,
EPIC 201238163.01,CANDIDATE,1.0829614,,,0.46,1.22,0.0655,0.02378,,,1.56,,,,3875.0,,,0.56,,
EPIC 201239401.01,CANDIDATE,0.905655,,,,1.488,0.0678,0.025,,4.14,1.57,,,,,,,0.576,,
EPIC 201247497.01,CANDIDATE,2.75421,,,,1.32,0.746,0.087,,13.7,8.4,,,,,,,0.89,,
EPIC 201258341.01,CANDIDATE,10.50439,,,,3.384,0.0402,0.0183,,21.4,1.75,,,,,,,0.878,,
EPIC 201259803.01,CANDIDATE,1.684208,,,,1.3224,1.476,0.1173,,10.58,5.51,,,,,,,0.431,,
EPIC 201264302.01,CANDIDATE,0.2122013,,,,0.624,0.0725,0.0253,,2.44,0.519,,,,,,,0.188,,
EPIC 201270176.01,CANDIDATE,1.57771549,,,,3.086,1.823,,,,,,,,5163.0,4.25178,,1.15585,0.87,
EPIC 201270464.01,CANDIDATE,1.57771549,,,,2.993,0.875,,,,,,,,7333.0,3.83915,,2.56752,1.66,
EPIC 201274010.01,CANDIDATE,13.0113,,,0.42,2.2008,0.065,0.0255,,26.7,2.43,,713.0,,5347.0,4.51267,,0.880221,0.92,
EPIC 201291843.01,CANDIDATE,40.70206194,,,,1.621,0.536,,,,,,,,3759.0,4.67427,,0.572892,0.565387,
EPIC 201299088.01,CANDIDATE,21.204739,,,,,,0.047409,83.49032,7.257597,9.11013939,,,,5154.0,3.91,-0.26,1.761722,,
EPIC 201352100.01,CANDIDATE,13.38382,,,0.38,2.2008,0.12,0.0326,,33.9,2.7,,608.0,,5113.71,4.73383,0.192,0.65973,0.86,
