group_id,orbital_period_days,eccentricity,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun
10811496,19.89913995,0.0,0.969,1.7822,10829.0,0.154046,88.96,53.5,14.6,0.1419,638.0,39.3,5853.0,4.544,-0.18,0.868,0.961
11818800,40.4195037,0.0,0.911,3.362,6256.0,0.088069,89.05,54.7,7.51,0.2062,467.0,11.29,5446.0,4.507,-0.54,0.781,0.714
11918099,7.2406612,0.0,1.198,0.558,556.4,0.232818,87.62,28.8,19.45,0.0692,734.0,68.63,5005.0,4.595,0.14,0.765,0.85
9579641,3.43591631,0.0,0.624,3.133,23.2,0.004612,84.62,6.65,0.55,0.0437,1272.0,617.61,5779.0,4.339,-0.06,1.087,0.941
3115833,10.181584004,0.0,0.92,3.5089,5741.1,0.084708,85.87,12.776,7.73,0.0884,812.0,102.91,5988.0,4.541,-0.52,0.836,0.885
3453214,19.620346923,0.0,0.458,2.0038,21725.0,0.137595,89.66,77.9,13.6,0.1389,643.0,40.39,5710.0,4.492,-0.1,0.905,0.928
4544670,34.84398644,0.0,0.934,2.9315,4523.6,0.080046,88.92,49.31,7.61,0.1971,511.0,16.1,5509.0,4.482,-0.16,0.871,0.84
4936180,4.64090031,0.0,1.28,35.512,2450.6,0.333559,19.01,1.354,30.09,0.0503,1155.0,421.08,6463.0,4.5,-1.66,0.826,0.786
5115978,1.028436523,0.0,1.5734,1.8606,8098.0,0.673134,57.3,2.891,72.77,0.0197,1947.0,3400.48,6228.0,4.428,-0.44,0.99,0.959
6867155,235.9986399,0.0,0.778,8.2284,20715.0,0.14756,89.76,184.83,10.59,0.6534,188.0,0.29,4245.0,4.627,0.12,0.657,0.666
6526710,39.74893077,0.0,0.881,7.3051,15179.0,0.134949,88.3,29.734,14.21,0.2311,552.0,21.87,6122.0,4.487,-0.18,0.964,1.041
6599919,13.61014819,0.0,1.081,2.594,5732.9,0.192842,86.94,20.24,19.02,0.1061,733.0,68.29,5697.0,4.46,-0.26,0.903,0.857
6862328,119.0207044,0.0,0.076,8.1405,7430.5,0.077431,89.96,120.05,8.98,0.4582,366.0,4.25,5453.0,4.342,0.16,1.062,0.904
7031517,12.940668656,0.0,0.897,2.4845,42450.0,0.259639,88.54,35.21,22.94,0.1039,723.0,64.64,5875.0,4.572,-0.42,0.809,0.895
7380537,2.688899233,0.0,0.001,2.11275,37492.0,0.172543,90.0,11.4204,12.04,0.0335,929.0,175.76,4820.0,4.667,-0.4,0.639,0.699
8013419,12.732624065,0.0,0.811,2.2083,6465.7,0.082519,88.53,31.62,4.87,0.0881,432.0,8.22,3950.0,4.721,-0.14,0.541,0.563
8018547,83.92494032,0.0,0.658,6.7904,7958.7,0.086015,89.54,81.6,4.78,0.3031,226.0,0.62,3960.0,4.746,-0.36,0.509,0.526
8552202,3.886655224,0.0,0.649,3.1646,581.6,0.023262,85.02,7.47,1.87,0.0451,1010.0,246.29,5662.0,4.61,-0.54,0.738,0.813
9140402,2.494170338,0.0,0.095,1.1221,863.7,0.026777,89.69,17.37,2.42,0.0351,1194.0,480.19,5569.0,4.566,-0.08,0.829,0.928
8951215,39.4759093,0.0,0.938,2.968,1012.6,0.036074,88.8,44.7,4.06,0.2338,577.0,26.13,6225.0,4.45,-0.12,1.031,1.091
9347899,9.61731426,0.0,0.331,3.8692,234.0,0.01416,88.96,18.21,1.94,0.0873,1010.0,246.13,6035.0,4.22,-0.28,1.257,0.958
2860866,90.1240507,0.0,0.698,11.649,3020.3,0.053684,89.14,46.7,7.12,0.427,485.0,13.09,6520.0,4.375,0.07,1.215,1.279
10460629,856.672115,0.0,0.1158,23.144,858.1,0.027062,89.95,288.6,3.87,1.8045,242.0,0.81,6449.0,4.232,-0.32,1.309,1.063
10319385,0.689210173,0.0,0.154,1.6169,195.0,0.012649,87.33,3.315,1.32,0.0156,1943.0,3362.71,5630.0,4.505,0.36,0.954,1.064
11502218,3.9886021,0.0,0.06,1.7376,673.5,0.023067,89.81,17.92,34.39,0.0622,3145.0,23135.72,4813.0,2.472,-0.22,13.652,2.016
11180361,0.533059312,0.0,1.263,1.8621,1495.8,0.301918,29.64,1.452852,133.56,0.0167,5862.0,277887.7,8523.0,3.559,-0.5,4.051,2.166
10287723,129995.7784,0.0,0.7127,9.408,1474.9,0.037707,89.95,79614.0,2.99,44.9892,25.0,0.0,4500.0,4.572,0.2,0.726,0.717
11013201,13.118962443,0.0,0.042,4.3045,372.2,0.017826,89.9,23.6858,8.25,0.1376,1768.0,2310.43,7221.0,3.488,-0.18,4.24,2.018
11013201,7.82187328,0.0,0.005,3.8417,42.2,0.006005,89.98,15.658,2.78,0.0975,2101.0,4601.71,7221.0,3.488,-0.18,4.24,2.018
9414417,53.5057611,0.0,0.46,10.5616,195.6,0.013111,89.25,34.9,2.52,0.2934,675.0,49.16,6247.0,4.016,-0.12,1.762,1.174
2307199,13.4471791,0.0,0.963,3.0454,1428.2,0.046114,86.0,13.815,5.24,0.1109,848.0,122.34,6276.0,4.405,-0.32,1.041,1.001
2853446,7.37290344,0.0,0.993,2.172,205.2,0.022864,81.09,6.41,2.67,0.0737,1004.0,240.11,5973.0,4.371,-0.14,1.07,0.982
3942446,119.0624882,0.0,0.968,3.1188,5372.3,0.103475,89.64,154.5,10.4,0.4328,366.0,4.26,5697.0,4.392,-0.52,0.92,0.76
3554031,14.8623076,0.0,0.324,3.161,840.0,0.025982,89.47,34.98,1.57,0.0993,454.0,10.08,4362.0,4.722,-0.5,0.554,0.59
10743597,16.15811112,0.0,1.8572,6.049,2319.8,0.902495,77.35,8.63,86.13,0.1233,660.0,44.83,5619.0,4.536,0.02,0.874,0.956
3644071,1295.362215,0.0,1.3935,28.297,8708.0,0.505204,89.38,199.0,57.82,2.2372,169.0,0.19,5609.0,4.346,-0.04,1.048,0.889
1431122,4.2989201,0.0,0.972,2.747,237.6,0.019694,75.22,3.81,2.12,0.0492,1046.0,283.62,5300.0,4.385,0.18,0.986,0.861
8260218,5.714817603,0.0,0.096,3.14126,12295.0,0.101045,89.64,15.258,9.29,0.0597,943.0,187.27,5695.0,4.526,-0.28,0.842,0.869
6359320,2.83668931,0.0,0.33,3.031,166.1,0.011852,87.25,6.87,1.19,0.0395,1242.0,562.48,5831.0,4.517,0.0,0.921,1.016
3447722,1.00861677,,,0.91,,,,,,,,,,,,,
12105051,2.624234833,0.0,0.781,1.3874,2607.0,0.052044,85.62,10.22,5.11,0.0368,1164.0,434.31,5340.0,4.514,0.36,0.899,0.963
8240904,92.77779,0.0,0.0174,6.64,359.0,0.017215,89.95,108.6,1.92,0.4083,410.0,6.7,5888.0,4.444,0.1,1.019,1.053
3756801,422.917678,0.0,0.7887,31.274,1367.7,0.037343,89.38,69.6,5.89,1.1043,292.0,1.73,5796.0,4.12,-0.02,1.444,1.004
8313667,30.5872153,0.0,0.013,5.3698,464.8,0.01965,89.98,44.37,2.32,0.1931,621.0,35.08,5944.0,4.38,0.0,1.082,1.024
10149023,9.95639775,0.0,1.222,5.615,510.5,0.244849,69.16,3.44,28.15,0.095,905.0,158.42,6161.0,4.454,0.07,1.053,1.15
9772531,31.201692472,0.0,0.001,2.15663,34514.0,0.169571,90.0,129.27,8.31,0.1498,286.0,1.59,3748.0,4.796,-0.3,0.449,0.461
10295951,6.810823723,0.0,0.57,7.98574,14447.0,0.114797,84.8,6.291,26.06,0.0798,1626.0,1656.16,7226.0,3.967,-0.4,2.079,1.461
3329204,51.59809554,0.0,0.251,2.0153,5869.2,0.070071,89.93,203.4,6.57,0.2675,449.0,9.61,5681.0,4.551,-0.06,0.859,0.957
3230491,1500.0,0.0,0.9243,7.109,9592.0,0.118113,89.95,1014.0,9.8,2.4144,139.0,0.09,5606.0,4.597,-0.4,0.76,0.832
2162635,1500.1406772,0.0,0.9131,25.727,4129.9,0.07359,89.95,251.5,18.35,2.634,206.0,0.42,5009.0,3.755,0.07,2.283,1.083
6837146,20.51360192,0.0,0.703,3.4769,1174.1,0.033497,88.82,34.2,2.58,0.1323,540.0,20.15,5310.0,4.608,-0.5,0.704,0.733
6607286,0.783276173,0.0,0.041,1.6735,264.7,0.014734,89.37,3.673,1.98,0.0165,2149.0,5056.88,5640.0,4.247,0.16,1.233,0.979
6607286,3.17405898,0.0,0.422,2.3156,282.2,0.015521,87.51,9.7,2.09,0.042,1348.0,780.46,5640.0,4.247,0.16,1.233,0.979
11075279,345.1589354,0.0,0.87,7.5646,5087.9,0.076581,89.77,220.9,7.79,0.9746,241.0,0.8,5597.0,4.515,0.28,0.931,1.032
6607447,99.6442783,0.0,0.966,5.1772,3215.6,0.076417,89.21,69.73,8.48,0.4283,415.0,6.98,6102.0,4.447,-0.08,1.016,1.049
6441738,19.03723442,0.0,0.033,3.3882,401.3,0.018189,89.96,43.69,5.74,0.1404,1051.0,288.04,5248.0,3.523,-0.58,2.892,1.017
8616873,0.576078683,0.0,1.113,1.63253,10085.0,0.260658,55.71,1.976,23.23,0.0131,1982.0,3647.63,5693.0,4.57,-0.24,0.816,0.911
8494263,78.9257421,0.0,0.359,7.5193,17972.0,0.123557,89.76,85.4,11.9,0.3578,398.0,5.94,5750.0,4.538,-0.04,0.882,0.98
10928043,6.84639884,0.0,0.9,3.4919,149.7,0.013285,82.65,7.03,1.9,0.0732,1132.0,387.84,6065.0,4.251,0.07,1.31,1.115
10794087,12.37679312,,,3.85,,,,,,,,,,,,,
