kepid,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2
11513441,FALSE POSITIVE,85.5692223,0.0006885,-0.0006885,0.0,,,,,,0.98,4.972,-0.138,4.954,0.352,-0.352,539.2,34.7,-34.7,0.032157,4.359744,-0.010363,88.69,,,42.8,20.2,-20.2,6.85,3.2,-3.91,0.3798,,,536.0,,,19.51,28.6,-16.35,5361.0,185.0,-167.0,3.856,0.658,-0.282,-0.2,0.35,-0.25,1.951,0.912,-1.114,0.997,0.192,-0.192,,,
4544572,FALSE POSITIVE,2.189092892,2.31e-06,-2.31e-06,0.0,,,,,,1.27,0.518,-0.148,5.1128,0.0436,-0.0436,1871.5,14.8,-14.8,0.317097,0.509112,-0.140228,42.52,,,1.723,0.603,-0.603,33.45,10.04,-3.36,0.0335,,,1446.0,,,1034.43,931.06,-310.12,6106.0,181.0,-217.0,4.487,0.05,-0.213,-0.16,0.25,-0.35,0.966,0.29,-0.097,1.043,0.14,-0.14,,,
8360041,CANDIDATE,2.63527677,2.09e-05,-2.09e-05,0.0,,,,,,0.646,0.015,-0.5,1.997,0.2,-0.2,70.4,7.9,-7.9,0.008055,0.002778,-0.000676,85.28,,,7.84,3.2,-3.2,0.76,0.05,-0.06,0.0354,,,1136.0,,,394.32,83.99,-77.27,5215.0,83.0,-83.0,4.496,0.066,-0.05,0.14,0.15,-0.15,0.864,0.058,-0.064,0.854,0.049,-0.04,,,
8806985,CANDIDATE,7.53737498,9.576e-05,-9.576e-05,0.0,,,,,,0.225,0.218,-0.225,3.966,0.236,-0.236,41.1,4.3,-4.3,0.005934,0.000375,-0.000345,89.1,,,14.25,4.7,-4.7,0.93,0.27,-0.22,0.0802,,,1210.0,,,506.84,440.47,-257.32,6483.0,181.0,-250.0,4.206,0.175,-0.175,-0.16,0.25,-0.3,1.436,0.422,-0.346,1.212,0.188,-0.188,,,
7435780,FALSE POSITIVE,0.933157032,5.568e-06,-5.568e-06,0.0,,,,,,1.046,0.08,-0.794,2.614,0.282,-0.282,87.8,6.7,-6.7,0.057092,0.046398,-0.049032,22.28,,,1.13,0.562,-0.562,7.29,2.22,-0.96,0.0198,,,2202.0,,,5565.35,4835.94,-1883.73,6499.0,154.0,-212.0,4.378,0.062,-0.188,-0.1,0.25,-0.3,1.169,0.356,-0.153,1.191,0.164,-0.164,,,
8316503,FALSE POSITIVE,5.065329723,1.29e-07,-1.29e-07,0.0,,,,,,0.725,0.012,-0.007,4.90392,0.00071,-0.00071,155610.0,24.0,-24.0,0.429764,0.005602,-0.004166,85.75,,,9.7756,0.0264,-0.0264,60.35,16.94,-12.34,0.0584,,,1315.0,,,705.6,580.75,-314.53,6350.0,170.0,-207.0,4.233,0.185,-0.185,-0.34,0.3,-0.3,1.286,0.361,-0.263,1.03,0.172,-0.129,,,
10924853,FALSE POSITIVE,2.102416517,1.311e-06,-1.311e-06,0.0,,,,,,1.236,9.116,-0.132,1.7684,0.0274,-0.0274,1502.5,19.6,-19.6,0.27969,9.101205,-0.124999,67.85,,,3.28,1.6,-1.6,29.29,8.7,-2.9,0.0326,,,1435.0,,,1003.06,896.65,-291.17,5999.0,180.0,-198.0,4.494,0.05,-0.2,-0.06,0.25,-0.3,0.959,0.285,-0.095,1.045,0.129,-0.142,,,
5816144,CANDIDATE,12.4970599,0.0001533,-0.0001533,0.0,,,,,,0.65,0.303,-0.449,3.877,0.283,-0.283,180.0,18.9,-18.9,0.012948,0.000143,-0.001371,88.06,,,19.15,8.0,-8.0,1.44,0.5,-0.16,0.1075,,,839.0,,,117.3,120.38,-36.67,6174.0,185.0,-203.0,4.445,0.07,-0.224,-0.12,0.25,-0.3,1.021,0.349,-0.116,1.055,0.155,-0.127,,,
9965957,CONFIRMED,5.75321539,1.184e-05,-1.184e-05,0.0,,,,,,0.921,0.017,-0.666,1.7948,0.048,-0.048,733.8,28.1,-28.1,0.03095,1.4e-05,-0.006223,85.36,,,11.38,5.6,-5.6,3.14,0.77,-0.26,0.0633,,,920.0,,,169.44,130.41,-43.04,5445.0,180.0,-164.0,4.51,0.033,-0.176,0.48,0.05,-0.25,0.929,0.229,-0.076,1.017,0.074,-0.101,,,
5218441,FALSE POSITIVE,3.613757526,1.037e-06,-1.037e-06,0.0,,,,,,0.812,0.003,-0.005,5.9128,0.0192,-0.0192,4872.2,9.8,-9.8,0.071239,0.000154,-0.000202,76.14,,,3.3877,0.0926,-0.0926,7.05,2.05,-0.73,0.0452,,,1182.0,,,461.67,398.4,-135.49,5986.0,168.0,-189.0,4.498,0.065,-0.195,-0.32,0.3,-0.3,0.906,0.264,-0.094,0.942,0.117,-0.117,,,
